267238558	3.1457549	101.7024497	No type	No name	No name	No name	"created_by":"JOSM"
267238562	3.1458992	101.7024497	No type	No name	No name	No name	"created_by":"JOSM"
267238565	3.1458882	101.7029252	No type	No name	No name	No name	"created_by":"JOSM"
267238570	3.1458342	101.7030311	No type	No name	No name	No name	"created_by":"JOSM"
267242146	3.1437104	101.7046952	No type	No name	No name	No name	"created_by":"JOSM"
267242157	3.1436084	101.7048916	No type	No name	No name	No name	"created_by":"JOSM"
267242168	3.143177	101.7046579	No type	No name	No name	No name	"created_by":"JOSM"
267242174	3.1432829	101.7044595	No type	No name	No name	No name	"created_by":"JOSM"
267242185	3.14353	101.7050271	No type	No name	No name	No name	"created_by":"JOSM"
267242194	3.1434143	101.7052391	No type	No name	No name	No name	"created_by":"JOSM"
267242206	3.142979	101.7050113	No type	No name	No name	No name	"created_by":"JOSM"
267242217	3.1430947	101.7047914	No type	No name	No name	No name	"created_by":"JOSM"
267242220	3.1433888	101.7052882	No type	No name	No name	No name	"created_by":"JOSM"
267242221	3.1432849	101.7054827	No type	No name	No name	No name	"created_by":"JOSM"
267242222	3.1428456	101.705249	No type	No name	No name	No name	"created_by":"JOSM"
267242223	3.1429496	101.7050506	No type	No name	No name	No name	"created_by":"JOSM"
267242224	3.1428633	101.7050251	No type	No name	No name	No name	"created_by":"JOSM"
267242225	3.1427888	101.7051783	No type	No name	No name	No name	"created_by":"JOSM"
267242226	3.1424182	101.7049996	No type	No name	No name	No name	"created_by":"JOSM"
267242227	3.1425025	101.7048385	No type	No name	No name	No name	"created_by":"JOSM"
267242228	3.1430221	101.7048091	No type	No name	No name	No name	"created_by":"JOSM"
267242229	3.1429358	101.704974	No type	No name	No name	No name	"created_by":"JOSM"
267242230	3.1425045	101.7047423	No type	No name	No name	No name	"created_by":"JOSM"
267242231	3.1425907	101.7045832	No type	No name	No name	No name	"created_by":"JOSM"
267242232	3.1430378	101.7043299	No type	No name	No name	No name	"created_by":"JOSM"
267242233	3.1429535	101.704485	No type	No name	No name	No name	"created_by":"JOSM"
267242234	3.1432006	101.7046186	No type	No name	No name	No name	"created_by":"JOSM"
267242235	3.1429888	101.7043005	No type	No name	No name	No name	"created_by":"JOSM"
267242236	3.1429123	101.7044477	No type	No name	No name	No name	"created_by":"JOSM"
267242237	3.1425868	101.7042906	No type	No name	No name	No name	"created_by":"JOSM"
267242238	3.1426084	101.7042082	No type	No name	No name	No name	"created_by":"JOSM"
267242239	3.1428201	101.7042023	No type	No name	No name	No name	"created_by":"JOSM"
267242253	3.1450146	101.7064866	No type	No name	No name	No name	"created_by":"JOSM"
267242254	3.1449113	101.7066675	No type	No name	No name	No name	"created_by":"JOSM"
267242255	3.1446392	101.7065124	No type	No name	No name	No name	"created_by":"JOSM"
267242256	3.1447471	101.7063338	No type	No name	No name	No name	"created_by":"JOSM"
267242259	3.1445553	101.7059843	No type	No name	No name	No name	"created_by":"JOSM"
267242260	3.1443526	101.7063182	No type	No name	No name	No name	"created_by":"JOSM"
267242261	3.1445583	101.7064416	No type	No name	No name	No name	"created_by":"JOSM"
267242262	3.1447506	101.7061077	No type	No name	No name	No name	"created_by":"JOSM"
267242265	3.1446139	101.7058851	No type	No name	No name	No name	"created_by":"JOSM"
267242270	3.1448347	101.7060219	No type	No name	No name	No name	"created_by":"JOSM"
267242271	3.1447836	101.7061287	No type	No name	No name	No name	"created_by":"JOSM"
267242272	3.144261	101.7064611	No type	No name	No name	No name	"created_by":"JOSM"
267242273	3.1444727	101.7065875	No type	No name	No name	No name	"created_by":"JOSM"
267242274	3.1449623	101.7055963	No type	No name	No name	No name	"created_by":"JOSM"
267242275	3.1448317	101.7058986	No type	No name	No name	No name	"created_by":"JOSM"
267242276	3.1446304	101.7058279	No type	No name	No name	No name	"created_by":"JOSM"
267242277	3.1446124	101.7057858	No type	No name	No name	No name	"created_by":"JOSM"
267242278	3.1447701	101.7055226	No type	No name	No name	No name	"created_by":"JOSM"
267242279	3.1453137	101.7057572	No type	No name	No name	No name	"created_by":"JOSM"
267242280	3.1450699	101.7055982	No type	No name	No name	No name	"created_by":"JOSM"
267242281	3.1448652	101.7059524	No type	No name	No name	No name	"created_by":"JOSM"
267242283	3.1447787	101.706271	No type	No name	No name	No name	"created_by":"JOSM"
267242284	3.1450113	101.7064144	No type	No name	No name	No name	"created_by":"JOSM"
267242285	3.1451766	101.7061324	No type	No name	No name	No name	"created_by":"JOSM"
267242286	3.1451266	101.7060987	No type	No name	No name	No name	"created_by":"JOSM"
267242292	3.145201	101.7066205	No type	No name	No name	No name	"created_by":"JOSM"
267242293	3.145193	101.7065568	No type	No name	No name	No name	"created_by":"JOSM"
267242294	3.1453123	101.7063617	No type	No name	No name	No name	"created_by":"JOSM"
267273196	3.1467513	101.7008482	No type	No name	No name	No name	"created_by":"JOSM"
267273197	3.1464766	101.7012239	No type	No name	No name	No name	"created_by":"JOSM"
267273198	3.1462329	101.701072	No type	No name	No name	No name	"created_by":"JOSM"
267273205	3.1463332	101.7009224	No type	No name	No name	No name	"created_by":"JOSM"
267273214	3.1464551	101.7010038	No type	No name	No name	No name	"created_by":"JOSM"
267273226	3.1465709	101.7008327	No type	No name	No name	No name	"created_by":"JOSM"
267273251	3.1464837	101.7008758	No type	No name	No name	No name	"created_by":"JOSM"
267273276	3.1464144	101.7009786	No type	No name	No name	No name	"created_by":"JOSM"
267273296	3.1463167	101.7009113	No type	No name	No name	No name	"created_by":"JOSM"
267273307	3.1463588	101.7008422	No type	No name	No name	No name	"created_by":"JOSM"
267273317	3.1463049	101.7011164	No type	No name	No name	No name	"created_by":"JOSM"
267273327	3.1462017	101.7013996	No type	No name	No name	No name	"created_by":"JOSM"
267273336	3.1463258	101.7014753	No type	No name	No name	No name	"created_by":"JOSM"
267273344	3.146256	101.7011131	No type	No name	No name	No name	"created_by":"JOSM"
267273348	3.1461671	101.7013765	No type	No name	No name	No name	"created_by":"JOSM"
267273357	3.1460235	101.7012884	No type	No name	No name	No name	"created_by":"JOSM"
267273363	3.1460863	101.7010169	No type	No name	No name	No name	"created_by":"JOSM"
267273400	3.1471405	101.7010296	No type	No name	No name	No name	"created_by":"JOSM"
267273405	3.1469394	101.7008851	No type	No name	No name	No name	"created_by":"JOSM"
267273409	3.1468782	101.7008895	No type	No name	No name	No name	"created_by":"JOSM"
267273410	3.146557	101.7013506	No type	No name	No name	No name	"created_by":"JOSM"
267273411	3.1467821	101.7015169	No type	No name	No name	No name	"created_by":"JOSM"
267285146	3.1470184	101.6969839	No type	No name	No name	No name	"created_by":"JOSM"
310464174	3.1455926	101.7113503	No type	No name	No name	No name	"entrance":"yes"
679493921	3.0551391	101.7072644	No type	No name	No name	No name	"barrier":"toll_booth"
1169361501	3.062504	101.646777	No type	RHB ATM	No name	No name	"addr:city":"Puchong","addr:place":"Giant Taman Kinrara","amenity":"atm","name":"RHB ATM"
1318563436	3.041214	101.6177801	No type	Hyundai	No name	No name	"name":"Hyundai","shop":"car"
1507338830	3.1580107	101.7113843	No type	No name	No name	No name	"amenity":"parking","fee":"yes","parking":"underground"
